case,family,corrected,plane,N,f_pos,meanQ_pos,f_strong,Q_p99,Q_max
CC_400_8,CC,False,Bend60,8614,0.7742047829115394,73.18747982031819,0.6954957046668214,585.0864249200024,1309.64832
CC_400_8,CC,False,Bend90,8740,0.7640732265446224,50.05328898620589,0.6745995423340961,217.41872170000002,370.059937
CC_400_8,CC,False,BendEnd,8740,0.7640732265446224,50.05328898620589,0.6745995423340961,217.41872170000002,370.059937
CC_400_8,CC,False,BendStart,8740,0.8149885583524027,69.32712349761881,0.7593821510297483,333.3418524700018,1674.54822
CC_400_8,CC,False,ConeEnd,8456,0.7666745506149479,49.44083340756949,0.7038789025543992,148.64218370000006,206.783096
CC_400_8,CC,False,GVEnd,8449,0.40726713220499466,1021.9441655705713,0.3972067700319564,4446.8000772000005,9764.36719
CC_400_8,CC,False,GVEnd z680,53881,0.4385219279523394,1312.3058106060923,0.42855552049887713,6945.424409999945,17174.5742
CC_400_8,CC,False,GVEnd2,8449,0.6259912415670493,141.44258179997294,0.5630252100840336,445.78750504,755.217712
CC_400_8,CC,False,GVEnd3,8546,0.6844137608237773,116.8637266976889,0.6095249239410251,393.98113099999966,489.138855
CC_400_8,CC,False,GVEnd4,8620,0.8194895591647332,74.25052206246541,0.6454756380510441,230.6235324299995,281.378113
CC_400_8,CC,False,GVEnd5,8460,0.826950354609929,55.30374307603373,0.6670212765957447,163.81251475,180.971664
CC_400_8,CC,False,GVEnd6,8449,0.7888507515682329,63.93653856156988,0.7391407267132205,138.96922888000003,153.069824
CC_400_8,CC,False,GVStart,41025,0.6631322364411943,2788.322239255835,0.6562583790371724,21763.29690800001,31566.9004
CC_400_8,CC,False,RDTStart,2545,0.08722986247544204,4.680880553419819,0.0,10.192686228,13.0855503
CC_450_6,CC,False,Bend00,8740,0.8009153318077803,97.14515495508242,0.7723112128146453,214.34691797000005,374.476868
CC_450_6,CC,False,Bend30,8614,0.776758764801486,82.17343793689282,0.7427443696308336,200.1803638500001,209.202515
CC_450_6,CC,False,Bend45,8591,0.7450820626236759,80.78837041415188,0.7005005238039809,201.65699930000005,289.812775
CC_450_6,CC,False,Bend60,8614,0.7365915950777804,82.13528378996632,0.6289760854423032,334.7176374200034,834.876221
CC_450_6,CC,False,Bend90,8740,0.7195652173913043,74.95502536536222,0.6612128146453089,127.12039658000002,181.343918
CC_450_6,CC,False,BendEnd,8740,0.7195652173913043,74.95502536536222,0.6612128146453089,127.12039658000002,181.343918
CC_450_6,CC,False,BendStart,8740,0.8012585812356979,97.08031079709623,0.7724256292906179,214.1143173500003,374.476868
CC_450_6,CC,False,ConeEnd,8456,0.7188978240302744,69.18651473002114,0.6257095553453169,119.07998605,123.690392
CC_450_6,CC,False,GVEnd,8449,0.36572375429044857,2245.60485860037,0.3568469641377678,12510.455480000028,20829.4258
CC_450_6,CC,False,GVEnd z680,56611,0.3468760488244334,3434.8839513068015,0.3352175372277473,17891.84066,42960.1133
CC_450_6,CC,False,GVEnd2,8449,0.5116581844005208,195.47401001232646,0.46419694638418746,824.8751612400002,1446.64575
CC_450_6,CC,False,GVEnd3,8546,0.7857477182307512,90.05642436052331,0.689796395974725,274.45335534999975,402.673401
CC_450_6,CC,False,GVEnd4,8620,0.7095127610208817,70.39592360539262,0.5987238979118329,391.85151472999945,585.960999
CC_450_6,CC,False,GVEnd5,8460,0.7868794326241135,69.57938670544067,0.6702127659574468,176.3555504699999,223.055023
CC_450_6,CC,False,GVEnd6,8449,0.7785536749911232,85.78807063352129,0.7413895135518996,180.09395600000005,201.779938
CC_450_6,CC,False,GVStart,43357,0.637474917545033,2833.711793837511,0.628433701593745,21241.29686400001,31137.9863
CC_450_6,CC,False,RDTStart,2545,0.187426326129666,12.07790230051564,0.0275049115913556,57.91842101599989,289.76413
CC_450_6,CC,True,Bend00,8740,0.8240274599542334,73.72308371311902,0.7254004576659039,444.124847,1551.65906
CC_450_6,CC,True,Bend30,8614,0.7883677733921524,66.84201308017252,0.7237055955421408,535.18706865,1503.95508
CC_450_6,CC,True,Bend45,8591,0.7490396927016645,76.5047225601567,0.6758235362588756,735.5454649000044,1458.44287
CC_450_6,CC,True,Bend60,8614,0.7557464592523798,73.51484623183362,0.697004875783608,677.5251061500002,1067.56506
CC_450_6,CC,True,Bend90,8740,0.7338672768878719,48.56441531571265,0.6717391304347826,120.13892191000049,155.991074
CC_450_6,CC,True,BendEnd,8740,0.7338672768878719,48.56441531571265,0.6717391304347826,120.13892191000049,155.991074
CC_450_6,CC,True,BendStart,8740,0.8216247139588101,73.19440162314321,0.724370709382151,414.1215006900012,1551.65906
CC_450_6,CC,True,ConeEnd,8456,0.6984389782403028,43.29384533258034,0.5894039735099338,69.36597099000001,70.3172607
CC_450_6,CC,True,GVEnd,8449,0.39910048526452835,1192.3205543786294,0.38797490827316844,5715.196520400007,9941.24707
CC_450_6,CC,True,GVEnd z680,56611,0.451149069968734,1614.6675290452777,0.441680945399304,8380.61572200001,17070.9668
CC_450_6,CC,True,GVEnd2,8449,0.603029944372115,201.91464444946124,0.5502426322641732,821.0434326400009,1245.93408
CC_450_6,CC,True,GVEnd3,8546,0.7814182073484671,87.97937261840214,0.6687339106014509,385.92035684999865,610.616394
CC_450_6,CC,True,GVEnd4,8620,0.7812064965197216,66.55792748787916,0.6512761020881671,256.71624091,302.204956
CC_450_6,CC,True,GVEnd5,8460,0.7755319148936171,56.26461527830724,0.6595744680851063,207.30191104,251.091278
CC_450_6,CC,True,GVEnd6,8449,0.8134690495916677,50.696432721170055,0.6893123446561723,142.64994492000002,159.81926
CC_450_6,CC,True,GVStart,43357,0.6589478054293424,2421.8569889084797,0.6509906128191526,18289.516496000026,26360.0059
CC_450_6,CC,True,RDTStart,2545,0.0793713163064833,9.424728501810346,0.01100196463654224,24.157972655999913,63.4238052
CC_450_8,CC,False,Bend00,8740,0.8255148741418764,69.01425253789124,0.6491990846681922,537.381226,1932.22754
CC_450_8,CC,False,Bend30,8614,0.8171581146970048,68.44238585209263,0.6747155792895286,742.5890584800164,2128.20215
CC_450_8,CC,False,Bend45,8591,0.7924572226748924,73.6082098513249,0.689093237108602,629.1145508000002,1598.00745
CC_450_8,CC,False,Bend60,8614,0.7831437195263524,71.00992379853,0.6631065706988624,479.03334680000165,850.344971
CC_450_8,CC,False,Bend90,8740,0.7632723112128147,48.93408421393445,0.6981693363844393,190.03894800000066,248.155273
